Nombre Región;Nombre Provincia;Nombre Comuna
Libertador General Bernardo O'Higgins;Cachapoal;Coltauco
Libertador General Bernardo O'Higgins;Cachapoal;Doñihue
Libertador General Bernardo O'Higgins;Cachapoal;Graneros
Libertador General Bernardo O'Higgins;Cachapoal;Las Cabras
Libertador General Bernardo O'Higgins;Cachapoal;Machalí
Libertador General Bernardo O'Higgins;Cachapoal;Malloa
Libertador General Bernardo O'Higgins;Cachapoal;Mostazal
Libertador General Bernardo O'Higgins;Cachapoal;Olivar
Libertador General Bernardo O'Higgins;Cachapoal;Peumo
Libertador General Bernardo O'Higgins;Cachapoal;Pichidegua
Libertador General Bernardo O'Higgins;Cachapoal;Quinta de Tilcoco
Libertador General Bernardo O'Higgins;Cachapoal;Rengo
Libertador General Bernardo O'Higgins;Cachapoal;Requínoa
Libertador General Bernardo O'Higgins;Cachapoal;San Vicente
Libertador General Bernardo O'Higgins;Cardenal Caro;Pichilemu
Libertador General Bernardo O'Higgins;Cardenal Caro;La Estrella
Libertador General Bernardo O'Higgins;Cardenal Caro;Litueche
Libertador General Bernardo O'Higgins;Cardenal Caro;Marchihue
Libertador General Bernardo O'Higgins;Cardenal Caro;Navidad
Libertador General Bernardo O'Higgins;Cardenal Caro;Paredones
Libertador General Bernardo O'Higgins;Colchagua;San Fernando
Libertador General Bernardo O'Higgins;Colchagua;Chépica
Libertador General Bernardo O'Higgins;Colchagua;Chimbarongo
Libertador General Bernardo O'Higgins;Colchagua;Lolol
Libertador General Bernardo O'Higgins;Colchagua;Nancagua
Libertador General Bernardo O'Higgins;Colchagua;Palmilla
Libertador General Bernardo O'Higgins;Colchagua;Peralillo
Libertador General Bernardo O'Higgins;Colchagua;Placilla
Libertador General Bernardo O'Higgins;Colchagua;Pumanque
Libertador General Bernardo O'Higgins;Colchagua;Santa Cruz
Maule;Talca;Talca
Maule;Talca;Constitución
Maule;Talca;Curepto
Maule;Talca;Empedrado
Maule;Talca;Maule
Maule;Talca;Pelarco
Maule;Talca;Pencahue
Maule;Talca;Río Claro
Maule;Talca;San Clemente
Maule;Talca;San Rafael
Maule;Cauquenes;Cauquenes
Maule;Cauquenes;Chanco
Maule;Cauquenes;Pelluhue
Maule;Curicó;Curicó
Maule;Curicó;Hualañé
Maule;Curicó;Licantén
Maule;Curicó;Molina
Maule;Curicó;Rauco
Maule;Curicó;Romeral
Maule;Curicó;Sagrada Familia
Maule;Curicó;Teno
Maule;Curicó;Vichuquén
Maule;Linares;Linares
Maule;Linares;Colbún
Maule;Linares;Longaví
Maule;Linares;Parral
Maule;Linares;Retiro
Maule;Linares;San Javier
Maule;Linares;Villa Alegre
Maule;Linares;Yerbas Buenas
Biobío;Concepción;Concepción
Biobío;Concepción;Coronel
Biobío;Concepción;Chiguayante
Biobío;Concepción;Florida
Biobío;Concepción;Hualqui
Biobío;Concepción;Lota
Biobío;Concepción;Penco
Biobío;Concepción;San Pedro de la Paz
Biobío;Concepción;Santa Juana
Biobío;Concepción;Talcahuano
Biobío;Concepción;Tomé
Biobío;Concepción;Hualpén
Biobío;Arauco;Lebu
Biobío;Arauco;Arauco
Biobío;Arauco;Cañete
Biobío;Arauco;Contulmo
Biobío;Arauco;Curanilahue
Biobío;Arauco;Los Alamos
Biobío;Arauco;Tirúa
Biobío;Biobío;Los Angeles
Biobío;Biobío;Antuco
Biobío;Biobío;Cabrero
Biobío;Biobío;Laja
Biobío;Biobío;Mulchén
Biobío;Biobío;Nacimiento
Biobío;Biobío;Negrete
Biobío;Biobío;Quilaco
Biobío;Biobío;Quilleco
Biobío;Biobío;San Rosendo
Biobío;Biobío;Santa Bárbara
Biobío;Biobío;Tucapel
Biobío;Biobío;Yumbel
Biobío;Biobío;Alto Biobío
La Araucanía;Cautín;Temuco
La Araucanía;Cautín;Carahue
La Araucanía;Cautín;Cunco
La Araucanía;Cautín;Curarrehue
La Araucanía;Cautín;Freire
La Araucanía;Cautín;Galvarino
La Araucanía;Cautín;Gorbea
La Araucanía;Cautín;Lautaro
La Araucanía;Cautín;Loncoche
La Araucanía;Cautín;Melipeuco
La Araucanía;Cautín;Nueva Imperial
La Araucanía;Cautín;Padre Las Casas
La Araucanía;Cautín;Perquenco
La Araucanía;Cautín;Pitrufquén
La Araucanía;Cautín;Pucón
La Araucanía;Cautín;Saavedra
La Araucanía;Cautín;Teodoro Schmidt
La Araucanía;Cautín;Toltén
La Araucanía;Cautín;Vilcún
La Araucanía;Cautín;Villarrica
La Araucanía;Cautín;Cholchol
La Araucanía;Malleco;Angol
La Araucanía;Malleco;Collipulli
La Araucanía;Malleco;Curacautín
La Araucanía;Malleco;Ercilla
La Araucanía;Malleco;Lonquimay
La Araucanía;Malleco;Los Sauces
La Araucanía;Malleco;Lumaco
La Araucanía;Malleco;Purén
La Araucanía;Malleco;Renaico
La Araucanía;Malleco;Traiguén
La Araucanía;Malleco;Victoria
Los Lagos;Llanquihue;Puerto Montt
Los Lagos;Llanquihue;Calbuco
Los Lagos;Llanquihue;Cochamó
Los Lagos;Llanquihue;Fresia
Los Lagos;Llanquihue;Frutillar
Los Lagos;Llanquihue;Los Muermos
Los Lagos;Llanquihue;Llanquihue
Los Lagos;Llanquihue;Maullín
Los Lagos;Llanquihue;Puerto Varas
Los Lagos;Chiloé;Castro
Los Lagos;Chiloé;Ancud
Los Lagos;Chiloé;Chonchi
Los Lagos;Chiloé;Curaco de Vélez
Los Lagos;Chiloé;Dalcahue
Los Lagos;Chiloé;Puqueldón
Los Lagos;Chiloé;Queilén
Los Lagos;Chiloé;Quellón
Los Lagos;Chiloé;Quemchi
Los Lagos;Chiloé;Quinchao
Los Lagos;Osorno;Osorno
Los Lagos;Osorno;Puerto Octay
Los Lagos;Osorno;Purranque
Los Lagos;Osorno;Puyehue
Los Lagos;Osorno;Río Negro
Los Lagos;Osorno;San Juan de la Costa
Los Lagos;Osorno;San Pablo
Los Lagos;Palena;Chaitén
Los Lagos;Palena;Futaleufú
Los Lagos;Palena;Hualaihué
Los Lagos;Palena;Palena
Aysén del General Carlos Ibáñez del Campo;Coihaique;Coihaique
Aysén del General Carlos Ibáñez del Campo;Coihaique;Lago Verde
Aysén del General Carlos Ibáñez del Campo;Aisén;Aisén
Aysén del General Carlos Ibáñez del Campo;Aisén;Cisnes
Aysén del General Carlos Ibáñez del Campo;Aisén;Guaitecas
Aysén del General Carlos Ibáñez del Campo;Capitán Prat;Cochrane
Aysén del General Carlos Ibáñez del Campo;Capitán Prat;O'Higgins
Aysén del General Carlos Ibáñez del Campo;Capitán Prat;Tortel
Aysén del General Carlos Ibáñez del Campo;General Carrera;Chile Chico
Aysén del General Carlos Ibáñez del Campo;General Carrera;Río Ibáñez
Magallanes y de la Antártica Chilena;Magallanes;Punta Arenas
Magallanes y de la Antártica Chilena;Magallanes;Laguna Blanca
Magallanes y de la Antártica Chilena;Magallanes;Río Verde
Magallanes y de la Antártica Chilena;Magallanes;San Gregorio
Magallanes y de la Antártica Chilena;Antártica Chilena;Cabo de Hornos
Magallanes y de la Antártica Chilena;Antártica Chilena;Antártica
Magallanes y de la Antártica Chilena;Tierra del Fuego;Porvenir
Magallanes y de la Antártica Chilena;Tierra del Fuego;Primavera
Magallanes y de la Antártica Chilena;Tierra del Fuego;Timaukel
Magallanes y de la Antártica Chilena;Última Esperanza;Natales
Magallanes y de la Antártica Chilena;Última Esperanza;Torres del Paine
Metropolitana de Santiago;Santiago;Santiago
Metropolitana de Santiago;Santiago;Cerrillos
Metropolitana de Santiago;Santiago;Cerro Navia
Metropolitana de Santiago;Santiago;Conchalí
Metropolitana de Santiago;Santiago;El Bosque
Metropolitana de Santiago;Santiago;Estación Central
Metropolitana de Santiago;Santiago;Huechuraba
Metropolitana de Santiago;Santiago;Independencia
Metropolitana de Santiago;Santiago;La Cisterna
Metropolitana de Santiago;Santiago;La Florida
Metropolitana de Santiago;Santiago;La Granja
Metropolitana de Santiago;Santiago;La Pintana
Metropolitana de Santiago;Santiago;La Reina
Metropolitana de Santiago;Santiago;Las Condes
Metropolitana de Santiago;Santiago;Lo Barnechea
Metropolitana de Santiago;Santiago;Lo Espejo
Metropolitana de Santiago;Santiago;Lo Prado
Metropolitana de Santiago;Santiago;Macul
Metropolitana de Santiago;Santiago;Maipú
Metropolitana de Santiago;Santiago;Ñuñoa
Metropolitana de Santiago;Santiago;Pedro Aguirre Cerda
Metropolitana de Santiago;Santiago;Peñalolén
Metropolitana de Santiago;Santiago;Providencia
Metropolitana de Santiago;Santiago;Pudahuel
Metropolitana de Santiago;Santiago;Quilicura
Metropolitana de Santiago;Santiago;Quinta Normal
Metropolitana de Santiago;Santiago;Recoleta
Metropolitana de Santiago;Santiago;Renca
Metropolitana de Santiago;Santiago;San Joaquín
Metropolitana de Santiago;Santiago;San Miguel
Metropolitana de Santiago;Santiago;San Ramón
Metropolitana de Santiago;Santiago;Vitacura
Metropolitana de Santiago;Cordillera;Puente Alto
Metropolitana de Santiago;Cordillera;Pirque
Metropolitana de Santiago;Cordillera;San José de Maipo
Metropolitana de Santiago;Chacabuco;Colina
Metropolitana de Santiago;Chacabuco;Lampa
Metropolitana de Santiago;Chacabuco;Tiltil
Metropolitana de Santiago;Maipo;San Bernardo
Metropolitana de Santiago;Maipo;Buin
Metropolitana de Santiago;Maipo;Calera de Tango
Metropolitana de Santiago;Maipo;Paine
Metropolitana de Santiago;Melipilla;Melipilla
Metropolitana de Santiago;Melipilla;Alhué
Metropolitana de Santiago;Melipilla;Curacaví
Metropolitana de Santiago;Melipilla;María Pinto
Metropolitana de Santiago;Melipilla;San Pedro
Metropolitana de Santiago;Talagante;Talagante
Metropolitana de Santiago;Talagante;El Monte
Metropolitana de Santiago;Talagante;Isla de Maipo
Metropolitana de Santiago;Talagante;Padre Hurtado
Metropolitana de Santiago;Talagante;Peñaflor
Los Ríos;Valdivia;Valdivia
Los Ríos;Valdivia;Corral
Los Ríos;Valdivia;Lanco
Los Ríos;Valdivia;Los Lagos
Los Ríos;Valdivia;Máfil
Los Ríos;Valdivia;Mariquina
Los Ríos;Valdivia;Paillaco
Los Ríos;Valdivia;Panguipulli
Los Ríos;Ranco;La Unión
Los Ríos;Ranco;Futrono
Los Ríos;Ranco;Lago Ranco
Los Ríos;Ranco;Río Bueno
Arica y Parinacota;Arica;Arica
Arica y Parinacota;Arica;Camarones
Arica y Parinacota;Parinacota;Putre
Arica y Parinacota;Parinacota;General Lagos
Ñuble;Diguillín;Chillán
Ñuble;Diguillín;Bulnes
Ñuble;Diguillín;Chillán Viejo
Ñuble;Diguillín;El Carmen
Ñuble;Diguillín;Pemuco
Ñuble;Diguillín;Pinto
Ñuble;Diguillín;Quillón
Ñuble;Diguillín;San Ignacio
Ñuble;Diguillín;Yungay
Ñuble;Itata;Quirihue
Ñuble;Itata;Cobquecura
Ñuble;Itata;Coelemu
Ñuble;Itata;Ninhue
Ñuble;Itata;Portezuelo
Ñuble;Itata;Ranquil
Ñuble;Itata;Treguaco
Ñuble;Punilla;San Carlos
Ñuble;Punilla;Coihueco
Ñuble;Punilla;Ñiquén
Ñuble;Punilla;San Fabián
Ñuble;Punilla;San Nicolás
